heure_depart,duree_vol,nb_vols_jour,retards_7j_moy,compagnie,meteo_depart,retard
3.0,168.7,175.0,18.0,SkyZ,Bonne,0
4.7,135.0,138.0,23.0,FlyY,Bonne,0
10.5,125.1,150.0,5.0,FlyY,Bonne,0
2.3,100.1,84.0,4.0,AirX,Moyenne,0
11.6,94.9,113.0,19.0,AirX,Bonne,0
11.4,124.1,174.0,21.0,FlyY,Bonne,0
8.0,132.0,190.0,13.0,FlyY,Bonne,0
7.5,103.4,120.0,15.0,FlyY,Bonne,0
0.5,107.3,130.0,8.0,AirX,Moyenne,0
18.2,151.4,155.0,36.0,SkyZ,Mauvaise,1
10.8,156.6,181.0,12.0,SkyZ,Bonne,0
5.3,52.8,115.0,22.0,FlyY,Moyenne,0
5.5,145.6,125.0,27.0,FlyY,Moyenne,0
11.1,166.1,129.0,34.0,FlyY,Bonne,0
18.5,169.1,121.0,41.0,SkyZ,Mauvaise,1
16.5,166.3,169.0,37.0,FlyY,Bonne,1
13.8,96.9,77.0,8.0,AirX,Bonne,0
22.0,182.2,133.0,32.0,SkyZ,Moyenne,1
6.6,110.0,106.0,3.0,SkyZ,Bonne,0
6.8,132.0,122.0,21.0,SkyZ,Moyenne,0
2.4,122.6,122.0,9.0,FlyY,Moyenne,0
7.9,135.3,93.0,12.0,FlyY,Bonne,0
9.1,98.2,146.0,5.0,FlyY,Moyenne,0
3.5,74.0,101.0,8.0,SkyZ,Bonne,0
6.5,124.4,92.0,17.0,SkyZ,Bonne,0
3.9,76.8,140.0,8.0,AirX,Moyenne,0
14.5,121.0,91.0,6.0,AirX,Mauvaise,0
4.7,35.0,150.0,0.0,FlyY,Bonne,0
7.3,108.8,71.0,17.0,SkyZ,Bonne,0
-15.0,105.3,97.0,9.0,SkyZ,Moyenne,0
20.2,197.9,144.0,21.0,AirX,Moyenne,1
13.3,102.4,181.0,17.0,FlyY,Moyenne,1
11.5,115.4,110.0,19.0,FlyY,Bonne,0
7.5,79.7,103.0,33.0,SkyZ,Bonne,0
10.9,110.8,63.0,31.0,SkyZ,Bonne,0
4.0,153.7,127.0,7.0,SkyZ,Moyenne,0
21.2,136.9,126.0,40.0,FlyY,Bonne,1
6.4,104.7,104.0,3.0,FlyY,Bonne,0
4.8,87.1,184.0,30.0,AirX,Mauvaise,0
-15.0,184.8,59.0,11.0,AirX,Bonne,0
15.3,114.3,150.0,18.0,SkyZ,Mauvaise,1
12.5,134.0,139.0,1.0,SkyZ,Moyenne,0
1.3,131.8,140.0,10.0,SkyZ,Moyenne,0
5.5,151.3,114.0,23.0,SkyZ,Bonne,0
4.0,130.8,109.0,7.0,FlyY,Bonne,0
20.8,206.4,134.0,34.0,FlyY,Moyenne,1
19.6,205.7,91.0,40.0,SkyZ,Moyenne,1
5.6,65.9,148.0,0.0,SkyZ,Moyenne,0
3.0,110.1,157.0,21.0,AirX,Bonne,0
8.2,124.5,96.0,31.0,FlyY,Moyenne,0
5.6,142.3,112.0,6.0,AirX,Moyenne,0
18.3,176.9,134.0,20.0,SkyZ,Moyenne,1
2.2,121.7,118.0,16.0,FlyY,Moyenne,0
21.1,206.6,114.0,27.0,AirX,Moyenne,1
6.0,164.0,130.0,18.0,FlyY,Moyenne,0
9.7,98.3,105.0,8.0,FlyY,Bonne,0
10.8,153.8,57.0,23.0,FlyY,Bonne,0
10.4,182.2,91.0,21.0,AirX,Bonne,0
16.3,104.1,144.0,14.0,FlyY,Bonne,0
7.0,77.2,101.0,25.0,FlyY,Bonne,0
12.6,123.3,155.0,4.0,FlyY,Bonne,0
5.8,111.6,100.0,12.0,FlyY,Bonne,0
3.3,116.6,111.0,14.0,SkyZ,Bonne,0
7.3,70.4,84.0,14.0,FlyY,Moyenne,0
1.6,142.0,53.0,13.0,FlyY,Mauvaise,0
0.8,167.2,98.0,22.0,SkyZ,Bonne,0
22.2,251.5,141.0,7.0,FlyY,Mauvaise,1
5.3,129.4,95.0,18.0,AirX,Bonne,0
6.3,153.0,126.0,16.0,AirX,Bonne,0
18.2,169.7,103.0,43.0,FlyY,Bonne,1
4.9,116.2,128.0,25.0,FlyY,Bonne,0
1.3,119.9,162.0,7.0,FlyY,Moyenne,0
15.3,212.4,154.0,17.0,AirX,Moyenne,1
13.7,128.4,182.0,37.0,AirX,Bonne,1
6.7,129.2,102.0,16.0,AirX,Bonne,0
6.6,100.4,104.0,23.0,FlyY,Bonne,0
9.0,113.1,81.0,8.0,FlyY,Bonne,0
18.4,202.9,120.0,16.0,FlyY,Bonne,1
4.5,41.5,71.0,4.0,FlyY,Bonne,0
5.7,135.5,100.0,14.0,SkyZ,Moyenne,0
13.8,216.1,177.0,21.0,FlyY,Mauvaise,1
5.2,121.0,137.0,22.0,FlyY,Bonne,0
14.7,155.2,97.0,20.0,FlyY,Mauvaise,1
11.0,139.7,111.0,27.0,FlyY,Bonne,0
3.6,105.5,131.0,10.0,FlyY,Bonne,0
5.7,205.8,124.0,6.0,SkyZ,Bonne,0
6.0,128.8,136.0,0.0,SkyZ,Moyenne,0
5.7,77.0,119.0,26.0,AirX,Mauvaise,0
7.4,92.8,144.0,20.0,SkyZ,Moyenne,0
8.5,67.7,87.0,6.0,FlyY,Bonne,0
11.3,112.3,153.0,19.0,AirX,Moyenne,0
12.7,88.8,154.0,20.0,FlyY,Bonne,0
0.0,130.2,105.0,14.0,SkyZ,Moyenne,0
10.2,114.1,150.0,19.0,FlyY,Bonne,0
9.3,133.8,161.0,25.0,FlyY,Bonne,0
10.3,104.1,100.0,8.0,FlyY,Bonne,0
0.0,114.7,117.0,12.0,AirX,Moyenne,0
3.7,138.5,128.0,6.0,AirX,Bonne,0
5.9,77.9,112.0,24.0,AirX,Moyenne,0
12.6,162.6,105.0,21.0,AirX,Bonne,0
12.9,114.2,122.0,25.0,AirX,Moyenne,0
1.7,141.9,133.0,15.0,AirX,Moyenne,0
7.6,154.7,97.0,7.0,FlyY,Moyenne,0
12.6,195.0,136.0,26.0,AirX,Bonne,1
13.4,123.1,158.0,13.0,FlyY,Bonne,0
8.1,59.0,78.0,19.0,SkyZ,Bonne,0
5.0,101.8,62.0,29.0,FlyY,Moyenne,0
7.2,106.6,135.0,19.0,FlyY,Bonne,0
3.8,125.6,91.0,17.0,AirX,Bonne,0
10.9,153.8,110.0,15.0,AirX,Bonne,0
11.4,191.0,72.0,13.0,AirX,Bonne,0
7.8,87.3,111.0,27.0,AirX,Moyenne,0
0.7,133.7,103.0,9.0,AirX,Bonne,0
16.8,153.1,155.0,27.0,AirX,Moyenne,1
2.6,173.9,89.0,10.0,AirX,Bonne,0
14.2,138.7,169.0,20.0,AirX,Bonne,0
16.4,252.7,106.0,45.0,FlyY,Bonne,1
8.2,111.7,130.0,12.0,AirX,Bonne,0
4.1,92.3,77.0,13.0,FlyY,Bonne,0
20.1,232.6,195.0,31.0,FlyY,Moyenne,1
10.7,143.3,116.0,8.0,FlyY,Bonne,0
4.8,117.1,82.0,5.0,AirX,Moyenne,0
0.0,99.1,129.0,9.0,FlyY,Bonne,0
8.9,159.4,143.0,6.0,FlyY,Bonne,0
21.6,174.1,72.0,16.0,AirX,Moyenne,1
2.3,118.6,103.0,20.0,SkyZ,Bonne,0
12.7,128.5,56.0,19.0,SkyZ,Bonne,0
6.7,151.0,133.0,6.0,AirX,Bonne,0
5.0,155.9,91.0,13.0,AirX,Bonne,0
14.1,105.9,121.0,26.0,SkyZ,Moyenne,0
10.2,130.0,200.0,7.0,FlyY,Bonne,0
5.4,74.6,91.0,20.0,AirX,Moyenne,0
15.1,200.7,132.0,28.0,AirX,Moyenne,1
3.9,114.1,70.0,24.0,FlyY,Bonne,0
15.3,124.7,140.0,13.0,FlyY,Mauvaise,0
13.7,128.7,50.0,7.0,FlyY,Bonne,0
6.9,121.0,50.0,6.0,FlyY,Mauvaise,0
10.3,113.5,145.0,13.0,FlyY,Bonne,0
11.8,120.3,117.0,13.0,FlyY,Moyenne,0
5.3,153.5,151.0,2.0,AirX,Bonne,0
6.2,162.0,161.0,28.0,AirX,Bonne,0
21.7,190.5,90.0,9.0,FlyY,Moyenne,1
15.3,207.8,137.0,17.0,SkyZ,Moyenne,1
1.3,170.8,50.0,11.0,FlyY,Bonne,0
0.0,75.6,115.0,11.0,FlyY,Bonne,0
14.3,103.4,93.0,15.0,AirX,Moyenne,0
17.5,162.6,165.0,22.0,FlyY,Moyenne,1
18.3,160.6,166.0,14.0,FlyY,Mauvaise,1
4.7,112.3,96.0,10.0,AirX,Moyenne,0
15.4,180.5,139.0,34.0,AirX,Mauvaise,1
17.1,90.2,81.0,9.0,FlyY,Moyenne,0
0.1,97.1,115.0,22.0,AirX,Bonne,0
3.7,175.4,173.0,17.0,FlyY,Bonne,0
11.1,96.5,136.0,23.0,AirX,Moyenne,0
1.6,106.3,75.0,8.0,FlyY,Moyenne,0
4.1,54.1,89.0,15.0,AirX,Bonne,0
18.5,147.4,98.0,48.0,SkyZ,Bonne,1
17.7,132.3,151.0,32.0,FlyY,Mauvaise,1
4.2,103.8,93.0,6.0,FlyY,Bonne,0
13.6,191.0,200.0,36.0,FlyY,Bonne,1
14.5,165.7,120.0,21.0,FlyY,Bonne,1
12.4,142.0,93.0,8.0,AirX,Bonne,0
11.3,81.4,82.0,35.0,FlyY,Bonne,0
17.9,208.6,161.0,25.0,FlyY,Bonne,1
7.1,86.1,113.0,6.0,FlyY,Bonne,0
10.4,111.4,150.0,13.0,FlyY,Moyenne,0
5.3,148.9,154.0,23.0,AirX,Bonne,0
11.3,100.9,108.0,23.0,AirX,Moyenne,0
1.1,99.9,85.0,1.0,FlyY,Moyenne,0
14.2,120.1,97.0,21.0,FlyY,Bonne,0
21.4,189.3,167.0,27.0,FlyY,Moyenne,1
9.1,105.6,114.0,14.0,FlyY,Bonne,0
23.0,226.6,197.0,30.0,SkyZ,Moyenne,1
21.0,151.3,200.0,49.0,FlyY,Bonne,1
5.9,99.8,77.0,11.0,AirX,Moyenne,0
23.0,219.8,130.0,41.0,AirX,Moyenne,1
4.5,111.1,138.0,11.0,AirX,Bonne,0
19.2,163.4,121.0,22.0,AirX,Bonne,1
9.9,113.0,136.0,21.0,AirX,Moyenne,0
12.4,146.1,178.0,19.0,AirX,Moyenne,0
6.9,94.4,154.0,15.0,AirX,Bonne,0
0.5,123.2,102.0,12.0,AirX,Moyenne,0
2.4,129.7,74.0,11.0,SkyZ,Bonne,0
3.1,99.1,122.0,13.0,AirX,Moyenne,0
0.0,96.5,138.0,12.0,FlyY,Bonne,0
13.4,103.6,177.0,41.0,FlyY,Moyenne,1
11.2,129.7,119.0,1.0,SkyZ,Bonne,0
6.9,149.5,167.0,19.0,AirX,Bonne,0
18.7,142.4,137.0,28.0,FlyY,Bonne,1
0.0,146.3,155.0,24.0,SkyZ,Bonne,0
10.2,181.8,132.0,14.0,SkyZ,Bonne,0
12.0,102.1,82.0,0.0,SkyZ,Bonne,0
7.2,146.0,101.0,28.0,AirX,Moyenne,0
11.8,118.0,197.0,2.0,AirX,Bonne,0
6.1,116.2,118.0,13.0,FlyY,Bonne,0
5.4,125.3,57.0,24.0,SkyZ,Bonne,0
12.3,91.5,147.0,12.0,FlyY,Bonne,0
16.9,199.0,174.0,25.0,FlyY,Bonne,1
5.1,118.7,155.0,0.0,AirX,Bonne,0
9.5,103.1,117.0,21.0,FlyY,Bonne,0
5.4,135.5,95.0,10.0,AirX,Bonne,0
12.4,70.4,108.0,11.0,FlyY,Bonne,0
8.2,134.3,133.0,0.0,FlyY,Bonne,0
4.0,143.6,143.0,10.0,FlyY,Bonne,0
11.7,96.7,89.0,12.0,AirX,Bonne,0
17.8,132.5,200.0,30.0,AirX,Mauvaise,1
11.3,121.2,100.0,13.0,FlyY,Bonne,0
9.4,100.8,147.0,9.0,AirX,Moyenne,0
8.3,109.2,137.0,8.0,FlyY,Bonne,0
9.7,60.6,102.0,34.0,AirX,Moyenne,0
6.7,149.7,137.0,17.0,FlyY,Moyenne,0
6.6,167.2,138.0,16.0,FlyY,Bonne,0
18.8,239.6,106.0,42.0,AirX,Mauvaise,1
5.5,172.2,118.0,1.0,FlyY,Bonne,0
11.4,51.8,109.0,40.0,AirX,Bonne,0
14.6,245.6,188.0,38.0,AirX,Moyenne,1
4.5,158.6,107.0,17.0,SkyZ,Moyenne,0
3.0,114.4,104.0,10.0,FlyY,Bonne,0
6.5,120.5,57.0,3.0,SkyZ,Bonne,0
4.1,149.0,143.0,18.0,AirX,Bonne,0
20.2,252.8,147.0,36.0,FlyY,Bonne,1
16.8,120.1,91.0,23.0,FlyY,Moyenne,0
6.4,100.3,141.0,16.0,FlyY,Bonne,0
3.7,134.4,107.0,14.0,FlyY,Bonne,0
12.7,98.9,83.0,14.0,FlyY,Bonne,0
10.1,117.6,114.0,15.0,FlyY,Bonne,0
12.0,88.3,147.0,23.0,SkyZ,Bonne,0
6.9,78.3,108.0,14.0,SkyZ,Moyenne,0
3.7,88.2,94.0,24.0,SkyZ,Mauvaise,0
4.9,116.0,83.0,31.0,AirX,Moyenne,0
2.8,90.8,101.0,9.0,FlyY,Bonne,0
0.0,164.0,91.0,5.0,SkyZ,Moyenne,0
9.5,116.5,101.0,17.0,AirX,Moyenne,0
9.8,109.1,151.0,16.0,AirX,Moyenne,0
16.5,161.9,122.0,17.0,FlyY,Bonne,0
0.0,170.2,116.0,12.0,FlyY,Bonne,0
5.2,89.5,90.0,5.0,SkyZ,Bonne,0
12.7,163.5,77.0,8.0,AirX,Bonne,0
2.2,178.3,92.0,20.0,FlyY,Bonne,0
4.8,109.9,161.0,9.0,AirX,Bonne,0
7.8,121.7,103.0,0.0,AirX,Bonne,0
14.9,131.2,142.0,22.0,AirX,Moyenne,0
5.7,129.4,128.0,22.0,SkyZ,Bonne,0
7.3,101.4,89.0,41.0,FlyY,Bonne,0
8.5,161.0,96.0,20.0,FlyY,Mauvaise,0
6.3,149.5,108.0,20.0,FlyY,Mauvaise,0
11.2,122.9,108.0,18.0,SkyZ,Moyenne,0
0.0,96.9,158.0,8.0,FlyY,Mauvaise,0
2.5,150.9,61.0,19.0,SkyZ,Bonne,0
14.5,123.8,156.0,18.0,FlyY,Mauvaise,1
5.2,128.8,92.0,15.0,FlyY,Bonne,0
9.5,144.2,116.0,33.0,FlyY,Bonne,0
10.1,105.5,152.0,13.0,FlyY,Bonne,0
8.9,89.3,83.0,23.0,FlyY,Bonne,0
4.5,79.6,97.0,15.0,FlyY,Bonne,0
2.4,89.8,126.0,18.0,AirX,Moyenne,0
20.8,167.8,107.0,43.0,SkyZ,Moyenne,1
13.9,120.8,142.0,11.0,FlyY,Bonne,0
6.1,128.9,98.0,13.0,FlyY,Bonne,0
4.5,120.7,50.0,14.0,SkyZ,Moyenne,0
16.5,265.0,53.0,28.0,FlyY,Moyenne,1
7.5,114.5,135.0,8.0,AirX,Bonne,0
3.8,105.0,167.0,34.0,SkyZ,Moyenne,0
5.1,116.0,74.0,17.0,FlyY,Bonne,0
10.9,72.4,120.0,19.0,FlyY,Bonne,0
3.8,114.4,133.0,13.0,AirX,Mauvaise,0
12.0,138.5,118.0,11.0,FlyY,Bonne,0
2.7,58.5,104.0,15.0,FlyY,Bonne,0
10.2,160.5,147.0,19.0,FlyY,Moyenne,0
3.1,155.5,124.0,17.0,SkyZ,Moyenne,0
0.9,85.4,141.0,17.0,FlyY,Bonne,0
6.9,115.8,99.0,25.0,AirX,Bonne,0
8.5,68.4,104.0,5.0,FlyY,Bonne,0
4.7,131.4,97.0,3.0,AirX,Moyenne,0
0.0,119.1,98.0,4.0,FlyY,Bonne,0
9.7,76.4,114.0,22.0,AirX,Bonne,0
19.2,186.8,120.0,36.0,FlyY,Mauvaise,1
6.6,99.8,158.0,23.0,FlyY,Bonne,0
6.5,104.7,130.0,8.0,SkyZ,Bonne,0
4.1,118.7,105.0,15.0,FlyY,Bonne,0
3.8,108.3,160.0,6.0,SkyZ,Moyenne,0
13.0,100.7,88.0,11.0,AirX,Bonne,0
17.9,145.3,148.0,19.0,SkyZ,Bonne,0
8.6,141.4,86.0,13.0,AirX,Moyenne,0
2.6,109.2,158.0,0.0,FlyY,Bonne,0
7.4,126.6,154.0,1.0,FlyY,Bonne,0
11.4,108.5,113.0,19.0,AirX,Bonne,0
5.7,74.3,124.0,17.0,AirX,Bonne,0
4.3,139.9,142.0,20.0,FlyY,Bonne,0
16.5,98.0,126.0,17.0,FlyY,Bonne,1
3.6,97.7,109.0,0.0,FlyY,Bonne,0
3.5,148.2,138.0,29.0,FlyY,Bonne,0
5.0,136.3,108.0,13.0,FlyY,Moyenne,0
16.2,208.2,178.0,46.0,AirX,Mauvaise,1
21.1,123.6,166.0,39.0,FlyY,Moyenne,1
2.5,114.1,131.0,15.0,AirX,Moyenne,0
4.1,93.7,125.0,4.0,SkyZ,Bonne,0
8.3,136.5,95.0,7.0,FlyY,Mauvaise,0
6.3,163.1,120.0,15.0,FlyY,Bonne,0
13.7,243.0,120.0,31.0,FlyY,Mauvaise,1
5.4,120.1,119.0,2.0,SkyZ,Mauvaise,0
9.1,88.3,169.0,12.0,AirX,Moyenne,0
12.7,128.8,137.0,26.0,FlyY,Mauvaise,0
8.3,104.0,136.0,21.0,FlyY,Bonne,0
1.4,81.1,154.0,21.0,FlyY,Bonne,0
9.4,116.4,159.0,27.0,AirX,Bonne,0
10.6,113.9,106.0,19.0,SkyZ,Bonne,0
9.4,100.9,125.0,24.0,SkyZ,Bonne,0
-15.0,198.2,121.0,15.0,FlyY,Moyenne,0
4.4,95.3,114.0,0.0,FlyY,Mauvaise,0
7.3,155.8,75.0,12.0,SkyZ,Bonne,0
12.5,198.1,104.0,44.0,FlyY,Moyenne,1
22.9,103.1,170.0,28.0,AirX,Mauvaise,1
5.4,104.3,130.0,23.0,FlyY,Mauvaise,0
19.8,214.1,133.0,33.0,FlyY,Mauvaise,1
11.7,89.5,104.0,22.0,FlyY,Bonne,0
19.9,169.2,158.0,22.0,FlyY,Mauvaise,1
17.8,112.8,133.0,33.0,SkyZ,Moyenne,1
3.4,122.1,95.0,12.0,SkyZ,Bonne,0
5.8,82.1,144.0,9.0,FlyY,Bonne,0
0.0,136.3,177.0,16.0,AirX,Moyenne,0
4.4,158.2,91.0,21.0,SkyZ,Bonne,0
22.6,256.1,200.0,21.0,SkyZ,Moyenne,1
5.6,128.9,101.0,14.0,AirX,Moyenne,0
12.1,118.3,119.0,19.0,SkyZ,Bonne,0
0.4,63.2,134.0,13.0,SkyZ,Bonne,0
22.0,175.2,103.0,25.0,FlyY,Moyenne,1
2.5,104.3,187.0,25.0,FlyY,Bonne,0
8.3,136.9,109.0,19.0,FlyY,Bonne,0
18.0,165.2,142.0,23.0,AirX,Bonne,1
15.9,198.7,196.0,42.0,FlyY,Bonne,1
12.2,135.8,63.0,12.0,SkyZ,Mauvaise,0
9.4,160.4,110.0,26.0,AirX,Bonne,0
10.4,39.0,80.0,16.0,FlyY,Moyenne,0
1.2,133.3,127.0,7.0,FlyY,Bonne,0
10.2,135.3,150.0,8.0,FlyY,Bonne,0
12.4,183.0,114.0,32.0,SkyZ,Moyenne,0
5.5,164.8,101.0,9.0,FlyY,Moyenne,0
11.1,108.6,103.0,24.0,FlyY,Bonne,0
9.6,125.5,116.0,25.0,FlyY,Bonne,0
7.3,68.5,87.0,11.0,FlyY,Bonne,0
23.0,148.1,158.0,35.0,AirX,Bonne,1
11.8,119.3,164.0,22.0,FlyY,Moyenne,0
23.0,214.7,200.0,25.0,AirX,Bonne,1
6.3,141.4,153.0,20.0,AirX,Bonne,0
13.0,146.7,108.0,9.0,FlyY,Bonne,0
16.9,233.8,124.0,23.0,FlyY,Mauvaise,1
20.9,210.2,143.0,28.0,SkyZ,Mauvaise,1
0.0,115.9,81.0,15.0,FlyY,Bonne,0
18.2,257.0,111.0,39.0,FlyY,Moyenne,1
0.8,77.9,112.0,33.0,FlyY,Bonne,0
6.3,112.2,126.0,16.0,AirX,Bonne,0
4.5,98.8,76.0,16.0,FlyY,Moyenne,0
14.5,204.5,128.0,32.0,AirX,Mauvaise,1
18.5,140.3,154.0,32.0,SkyZ,Mauvaise,1
11.0,128.1,96.0,29.0,AirX,Bonne,0
4.5,96.2,53.0,16.0,FlyY,Bonne,0
11.5,163.2,128.0,23.0,AirX,Moyenne,0
1.2,127.1,55.0,13.0,SkyZ,Bonne,0
4.9,139.8,111.0,15.0,FlyY,Bonne,0
11.6,154.9,128.0,16.0,FlyY,Bonne,0
4.3,55.0,88.0,18.0,AirX,Moyenne,0
17.9,212.8,189.0,34.0,FlyY,Bonne,1
0.0,139.9,109.0,14.0,AirX,Bonne,0
15.0,193.6,142.0,30.0,SkyZ,Mauvaise,1
2.3,107.3,111.0,13.0,AirX,Bonne,0
10.5,91.6,110.0,17.0,AirX,Bonne,0
9.3,123.0,109.0,1.0,AirX,Bonne,0
15.3,204.2,93.0,33.0,FlyY,Bonne,1
4.1,118.5,68.0,18.0,FlyY,Bonne,0
8.1,103.2,129.0,11.0,AirX,Bonne,0
0.9,86.7,121.0,19.0,FlyY,Moyenne,0
10.2,119.3,62.0,39.0,FlyY,Bonne,0
20.2,169.8,195.0,22.0,FlyY,Mauvaise,1
5.1,153.6,163.0,27.0,FlyY,Bonne,0
6.0,123.0,115.0,4.0,FlyY,Bonne,0
9.2,139.0,135.0,23.0,FlyY,Bonne,0
5.4,110.6,107.0,32.0,AirX,Bonne,0
15.8,122.4,50.0,25.0,AirX,Moyenne,0
3.8,105.8,94.0,29.0,SkyZ,Bonne,0
19.9,205.7,122.0,20.0,SkyZ,Bonne,1
8.0,80.4,123.0,32.0,FlyY,Moyenne,0
19.6,198.0,182.0,25.0,AirX,Mauvaise,1
15.7,78.3,88.0,0.0,FlyY,Moyenne,0
11.2,143.6,142.0,7.0,FlyY,Bonne,0
3.1,70.9,107.0,14.0,AirX,Moyenne,0
20.5,140.3,103.0,7.0,AirX,Bonne,0
2.9,198.1,141.0,18.0,FlyY,Bonne,0
4.9,171.6,109.0,14.0,FlyY,Bonne,0
6.2,151.1,137.0,16.0,AirX,Bonne,0
4.9,108.3,81.0,18.0,AirX,Bonne,0
10.1,150.8,96.0,3.0,AirX,Bonne,0
3.0,148.3,120.0,7.0,FlyY,Moyenne,0
0.0,191.5,112.0,28.0,AirX,Bonne,0
14.9,131.3,109.0,23.0,AirX,Bonne,0
5.1,123.9,97.0,0.0,FlyY,Bonne,0
15.3,287.9,158.0,21.0,AirX,Mauvaise,1
10.1,136.5,112.0,12.0,FlyY,Bonne,0
0.0,80.3,169.0,28.0,AirX,Bonne,0
23.0,162.8,178.0,38.0,AirX,Moyenne,1
7.6,141.4,146.0,18.0,AirX,Moyenne,0
1.6,109.9,151.0,15.0,FlyY,Bonne,0
0.0,130.0,104.0,18.0,SkyZ,Moyenne,0
12.1,138.4,102.0,18.0,SkyZ,Moyenne,0
6.8,93.3,98.0,10.0,FlyY,Moyenne,0
8.0,137.7,80.0,18.0,FlyY,Bonne,0
13.5,127.1,103.0,8.0,AirX,Moyenne,0
0.0,106.1,83.0,22.0,AirX,Bonne,0
7.4,129.2,118.0,25.0,SkyZ,Bonne,0
1.2,95.2,137.0,4.0,AirX,Bonne,0
13.3,109.6,90.0,22.0,AirX,Bonne,0
7.7,133.3,120.0,18.0,AirX,Bonne,0
9.5,114.9,156.0,0.0,AirX,Moyenne,0
0.2,183.6,75.0,22.0,AirX,Bonne,0
6.7,122.8,99.0,11.0,FlyY,Bonne,0
10.8,113.9,60.0,12.0,FlyY,Bonne,0
3.9,117.6,96.0,21.0,SkyZ,Bonne,0
7.6,126.4,110.0,29.0,SkyZ,Mauvaise,0
6.1,80.7,121.0,8.0,FlyY,Bonne,0
15.8,124.3,85.0,17.0,AirX,Bonne,0
3.5,101.3,82.0,21.0,FlyY,Bonne,0
7.1,71.4,75.0,5.0,FlyY,Bonne,0
11.0,108.6,133.0,26.0,AirX,Bonne,0
4.7,73.7,113.0,11.0,FlyY,Moyenne,0
7.6,73.5,181.0,4.0,FlyY,Mauvaise,0
6.9,154.2,178.0,7.0,FlyY,Bonne,0
9.3,98.3,153.0,7.0,FlyY,Moyenne,0
4.8,140.5,96.0,25.0,AirX,Moyenne,0
23.0,161.9,200.0,27.0,SkyZ,Moyenne,1
5.8,143.4,135.0,22.0,FlyY,Bonne,0
5.3,127.0,87.0,25.0,AirX,Bonne,0
11.5,115.3,110.0,7.0,SkyZ,Bonne,0
-15.0,126.4,145.0,11.0,FlyY,Moyenne,0
1.2,171.4,149.0,11.0,SkyZ,Moyenne,0
9.6,170.9,125.0,20.0,FlyY,Bonne,0
1.6,131.7,93.0,11.0,FlyY,Bonne,0
7.3,155.4,102.0,13.0,AirX,Mauvaise,0
4.0,122.3,129.0,17.0,AirX,Moyenne,0
17.7,226.5,136.0,37.0,FlyY,Mauvaise,1
7.8,120.0,95.0,27.0,FlyY,Moyenne,0
8.8,68.3,93.0,18.0,AirX,Bonne,0
11.9,97.4,106.0,8.0,AirX,Bonne,0
0.0,132.9,120.0,10.0,SkyZ,Moyenne,0
9.5,105.8,60.0,8.0,SkyZ,Bonne,0
4.2,113.7,159.0,2.0,FlyY,Bonne,0
18.4,213.9,130.0,43.0,AirX,Moyenne,1
5.5,97.1,193.0,18.0,AirX,Bonne,0
11.6,97.8,50.0,24.0,AirX,Moyenne,0
7.9,115.0,115.0,7.0,SkyZ,Bonne,0
9.9,69.4,142.0,19.0,AirX,Mauvaise,0
11.1,126.3,105.0,23.0,FlyY,Bonne,0
4.3,121.5,109.0,5.0,AirX,Bonne,0
21.8,134.6,168.0,24.0,FlyY,Moyenne,1
3.9,106.7,140.0,1.0,FlyY,Bonne,0
18.7,135.0,112.0,36.0,SkyZ,Moyenne,1
17.6,227.8,179.0,37.0,AirX,Moyenne,1
16.2,78.0,139.0,28.0,AirX,Bonne,0
10.4,154.4,153.0,23.0,AirX,Bonne,0
5.6,147.1,121.0,19.0,SkyZ,Bonne,0
0.6,127.9,84.0,12.0,SkyZ,Bonne,0
10.5,129.8,81.0,26.0,FlyY,Mauvaise,0
7.6,136.5,104.0,17.0,FlyY,Moyenne,0
9.1,116.4,114.0,22.0,FlyY,Moyenne,0
13.8,230.9,146.0,38.0,AirX,Moyenne,1
1.2,139.1,167.0,20.0,SkyZ,Bonne,0
19.2,123.7,90.0,34.0,FlyY,Mauvaise,1
9.6,124.4,131.0,9.0,FlyY,Moyenne,0
7.8,123.5,52.0,1.0,FlyY,Moyenne,0
5.2,116.1,124.0,0.0,AirX,Moyenne,0
4.5,87.9,69.0,27.0,AirX,Bonne,0
7.5,146.5,177.0,9.0,FlyY,Moyenne,0
5.9,154.2,83.0,19.0,AirX,Bonne,0
9.5,108.7,95.0,25.0,FlyY,Bonne,0
8.2,64.8,124.0,25.0,AirX,Bonne,0
17.8,161.8,186.0,32.0,FlyY,Mauvaise,1
10.1,168.0,103.0,11.0,AirX,Moyenne,0
5.6,154.3,150.0,14.0,FlyY,Moyenne,0
10.8,139.7,171.0,11.0,FlyY,Moyenne,0
9.7,98.7,52.0,12.0,AirX,Bonne,0
17.2,227.7,139.0,34.0,FlyY,Mauvaise,1
12.0,155.6,91.0,6.0,FlyY,Bonne,0
9.5,98.5,117.0,14.0,FlyY,Bonne,0
8.9,143.0,119.0,18.0,SkyZ,Bonne,0
9.7,121.2,119.0,29.0,FlyY,Moyenne,0
8.1,100.5,142.0,4.0,AirX,Moyenne,0
8.3,91.7,124.0,21.0,AirX,Bonne,0
9.8,119.4,99.0,4.0,AirX,Bonne,0
9.4,121.4,117.0,7.0,FlyY,Moyenne,0
5.6,123.6,100.0,20.0,AirX,Bonne,0
4.0,98.4,112.0,26.0,FlyY,Moyenne,0
0.6,65.6,124.0,16.0,FlyY,Mauvaise,0
